,PS_C,PS_F,Vainqueur,Proba_Favori,Proba_Challenger
0,2.21,1.719,challenger,0.708465,0.29153502
1,3.25,1.385,challenger,0.7196704,0.28032959
2,2.18,1.746,favori,0.521373,0.47862703
3,1.82,2.06,favori,0.5189147,0.4810853
4,2.9,1.455,favori,0.54056,0.45944
5,1.463,2.91,challenger,0.42658696,0.573413
6,1.971,1.885,favori,0.56876785,0.43123215
7,2.06,1.82,favori,0.4790327,0.5209673
8,6.85,1.131,favori,0.83853304,0.16146696
9,1.714,2.24,challenger,0.6357705,0.3642295
10,4.55,1.241,favori,0.73019606,0.26980394
11,1.7519999999999998,2.17,favori,0.5255421,0.47445792
12,2.21,1.73,favori,0.591691,0.40830898
13,2.93,1.459,favori,0.6838422,0.31615782
14,1.862,2.0,challenger,0.51588446,0.48411554
15,5.85,1.154,favori,0.8227333,0.17726672
16,6.5,1.133,favori,0.75723827,0.24276173
17,6.0,1.148,favori,0.8411153,0.1588847
18,1.952,1.901,challenger,0.45653632,0.5434637
19,2.69,1.529,favori,0.69540584,0.30459416
20,2.9,1.465,challenger,0.6025994,0.39740062
21,3.25,1.392,challenger,0.74033654,0.25966346
22,6.25,1.143,favori,0.89985406,0.100145936
23,3.25,1.392,favori,0.65715605,0.34284395
24,1.885,1.971,challenger,0.54766315,0.45233685
25,2.27,1.69,favori,0.6644686,0.3355314
26,2.75,1.513,favori,0.6522151,0.34778488
27,1.676,2.3,challenger,0.70287853,0.29712147
28,2.7,1.526,favori,0.65817356,0.34182644
29,2.51,1.592,favori,0.6244054,0.37559462
30,1.633,2.4,favori,0.3715359,0.6284641
31,2.4,1.633,favori,0.5630663,0.4369337
32,2.12,1.781,challenger,0.7125654,0.28743458
33,4.5,1.23,favori,0.72252184,0.27747816
34,1.357,3.4,favori,0.44357964,0.5564203
35,2.7,1.526,challenger,0.60850316,0.39149684
36,3.45,1.345,favori,0.80448693,0.19551307
37,2.34,1.658,favori,0.6914356,0.30856442
38,1.943,1.909,challenger,0.50063145,0.49936855
39,5.25,1.182,favori,0.8703327,0.12966728
40,2.0,1.862,challenger,0.46105406,0.5389459
41,1.952,1.901,favori,0.51609504,0.48390496
42,3.9,1.294,favori,0.71352345,0.28647655
43,3.45,1.345,favori,0.7556839,0.2443161
44,4.25,1.256,challenger,0.76906174,0.23093826
45,1.794,2.1,favori,0.5262942,0.47370583
46,2.48,1.602,challenger,0.5535591,0.44644088
47,2.72,1.513,favori,0.66445297,0.33554703
48,2.48,1.602,favori,0.7177652,0.2822348
49,1.621,2.43,favori,0.4156263,0.5843737
50,1.952,1.901,challenger,0.6946156,0.3053844
51,1.5,2.78,challenger,0.41639525,0.58360475
52,2.48,1.602,challenger,0.4753483,0.5246517
53,1.847,2.02,challenger,0.4881546,0.5118454
54,1.541,2.65,favori,0.4085523,0.5914477
55,3.65,1.3230000000000002,favori,0.5234813,0.4765187
56,2.39,1.645,favori,0.65562874,0.34437126
57,2.49,1.599,favori,0.69859135,0.30140865
58,6.25,1.148,favori,0.87129414,0.12870586
59,5.05,1.211,favori,0.8213886,0.1786114
60,3.6,1.328,favori,0.6939364,0.3060636
61,2.63,1.5519999999999998,favori,0.64122987,0.35877013
62,4.1,1.278,favori,0.8075229,0.1924771
63,3.3,1.37,favori,0.7024381,0.29756188
64,1.641,2.4,challenger,0.60349417,0.39650583
65,2.36,1.658,favori,0.7669881,0.2330119
66,2.0,1.862,favori,0.4771274,0.52287257
67,2.63,1.5519999999999998,challenger,0.75196254,0.24803746
68,1.633,2.42,challenger,0.35774192,0.64225805
69,4.2,1.263,favori,0.7290528,0.27094722
70,2.8,1.4880000000000002,challenger,0.7002126,0.2997874
71,1.629,2.43,challenger,0.62577885,0.37422115
72,3.26,1.383,challenger,0.8348194,0.16518062
73,2.34,1.6669999999999998,favori,0.63610405,0.36389595
74,2.7,1.526,favori,0.59150165,0.40849835
75,2.25,1.709,challenger,0.5621455,0.43785453
76,2.2,1.725,favori,0.69274855,0.30725145
77,2.16,1.746,challenger,0.6185015,0.38149852
78,2.5,1.595,challenger,0.50288135,0.49711865
79,2.13,1.775,favori,0.6367033,0.3632967
80,5.65,1.167,favori,0.79584795,0.20415205
81,2.22,1.725,challenger,0.46346048,0.53653955
82,2.49,1.606,challenger,0.6697018,0.3302982
83,3.85,1.2990000000000002,favori,0.82512105,0.17487895
84,2.65,1.5519999999999998,favori,0.52166134,0.47833866
85,2.23,1.719,favori,0.42505226,0.5749477
86,1.426,3.05,favori,0.44448358,0.5555164
87,2.8,1.4880000000000002,challenger,0.6758129,0.3241871
88,1.98,1.877,favori,0.5266304,0.4733696
89,3.35,1.364,favori,0.73277766,0.26722234
90,3.05,1.408,challenger,0.68307877,0.31692123
91,1.735,2.2,challenger,0.49147817,0.5085218
92,2.7,1.5319999999999998,favori,0.751492,0.24850798
93,1.602,2.5,favori,0.4253201,0.5746799
94,2.95,1.455,favori,0.8284501,0.17154992
95,2.55,1.578,favori,0.46919295,0.530807
96,2.37,1.654,favori,0.55196315,0.44803685
97,3.28,1.3730000000000002,favori,0.78242624,0.21757376
98,1.556,2.62,challenger,0.5020641,0.4979359
99,2.2,1.735,challenger,0.6600194,0.3399806
100,4.95,1.208,favori,0.8533279,0.14667213
101,2.25,1.709,favori,0.67838424,0.32161576
102,2.3,1.685,favori,0.7077741,0.2922259
103,2.62,1.5490000000000002,challenger,0.6415586,0.3584414
104,4.65,1.235,favori,0.6354497,0.3645503
105,2.75,1.513,favori,0.7350212,0.26497883
106,2.58,1.575,favori,0.51564777,0.48435223
107,3.55,1.339,challenger,0.7166884,0.2833116
108,1.893,1.962,challenger,0.50543016,0.49456984
109,5.0,1.211,favori,0.8225421,0.17745793
110,3.65,1.3230000000000002,favori,0.56605977,0.43394023
111,1.709,2.25,challenger,0.5223815,0.47761852
112,4.6,1.235,favori,0.6662014,0.3337986
113,1.847,2.02,challenger,0.5771465,0.42285353
114,1.129,7.0,challenger,0.44251144,0.55748856
115,1.694,2.28,favori,0.6051939,0.3948061
116,3.75,1.3130000000000002,favori,0.59641266,0.40358734
117,23.5,1.029,favori,0.8905078,0.10949218
118,2.72,1.513,challenger,0.5848099,0.4151901
119,3.05,1.435,challenger,0.54145354,0.45854646
120,4.15,1.274,challenger,0.72909665,0.27090335
121,4.95,1.213,favori,0.6948471,0.3051529
122,3.75,1.308,favori,0.7856569,0.21434307
123,3.65,1.3230000000000002,favori,0.74251175,0.25748825
124,1.98,1.877,favori,0.48113626,0.51886374
125,3.5,1.345,challenger,0.74110234,0.25889766
126,4.55,1.241,favori,0.80087477,0.19912523
127,9.75,1.08,favori,0.8066855,0.1933145
128,3.55,1.3330000000000002,favori,0.7126901,0.28730989
129,4.35,1.25,favori,0.6673492,0.33265078
130,2.6,1.556,challenger,0.48309302,0.516907
131,1.735,2.2,favori,0.47357586,0.52642417
132,1.571,2.59,favori,0.5762763,0.4237237
133,3.6,1.3330000000000002,favori,0.6829518,0.3170482
134,2.56,1.575,challenger,0.5604591,0.43954092
135,3.8,1.308,favori,0.63011444,0.36988556
136,3.2,1.4169999999999998,favori,0.7720908,0.2279092
137,2.52,1.595,challenger,0.63832676,0.36167324
138,4.65,1.233,favori,0.75759315,0.24240685
139,2.27,1.69,favori,0.5216267,0.4783733
140,14.5,1.057,favori,0.9089247,0.0910753
141,10.0,1.083,favori,0.80530035,0.19469965
