,PS_F,PS_C,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
8365,1.719,2.21,challenger,favori,0.4552306300874284,0.5447693699125716
8366,1.385,3.25,challenger,favori,0.24712930604093858,0.7528706939590614
8367,1.746,2.18,favori,favori,0.24712930604093858,0.7528706939590614
8371,2.06,1.82,favori,favori,0.287900612171408,0.7120993878285921
8372,1.455,2.9,favori,challenger,0.5595279416869142,0.4404720583130857
8373,2.91,1.463,challenger,challenger,0.5595279416869142,0.4404720583130857
8375,1.885,1.971,favori,challenger,0.5595279416869142,0.4404720583130857
8376,1.82,2.06,favori,favori,0.21658986175115208,0.783410138248848
8377,1.131,6.85,favori,challenger,0.5595279416869142,0.4404720583130857
8378,2.24,1.714,challenger,favori,0.287900612171408,0.7120993878285921
8380,1.241,4.55,favori,favori,0.16276041666666666,0.8372395833333334
8381,2.17,1.7519999999999998,favori,favori,0.4552306300874284,0.5447693699125716
8382,1.73,2.21,favori,favori,0.287900612171408,0.7120993878285921
8383,1.459,2.93,favori,favori,0.4552306300874284,0.5447693699125716
8385,2.0,1.862,challenger,favori,0.39772357723577234,0.6022764227642277
8386,1.154,5.85,favori,challenger,0.5595279416869142,0.4404720583130857
8387,1.133,6.5,favori,favori,0.287900612171408,0.7120993878285921
8389,1.148,6.0,favori,favori,0.39772357723577234,0.6022764227642277
8390,1.901,1.952,challenger,favori,0.034578146611341634,0.9654218533886584
8391,1.529,2.69,favori,favori,0.034578146611341634,0.9654218533886584
8392,1.465,2.9,challenger,favori,0.287900612171408,0.7120993878285921
8393,1.392,3.25,challenger,challenger,0.5595279416869142,0.4404720583130857
8394,1.143,6.25,favori,favori,0.39772357723577234,0.6022764227642277
8397,1.392,3.25,favori,favori,0.16276041666666666,0.8372395833333334
8398,1.971,1.885,challenger,challenger,0.5595279416869142,0.4404720583130857
8399,1.69,2.27,favori,challenger,0.5595279416869142,0.4404720583130857
8400,1.513,2.75,favori,favori,0.16276041666666666,0.8372395833333334
8402,2.3,1.676,challenger,favori,0.287900612171408,0.7120993878285921
8403,1.526,2.7,favori,favori,0.287900612171408,0.7120993878285921
8404,1.592,2.51,favori,challenger,0.5595279416869142,0.4404720583130857
8406,2.4,1.633,favori,favori,0.16276041666666666,0.8372395833333334
