,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
0,2.21,1.719,challenger,favori,0.30207304973279514,0.6979269502672049
1,3.25,1.385,challenger,favori,0.26161496048559996,0.7383850395144
2,2.18,1.746,favori,favori,0.4172825246984204,0.5827174753015796
3,1.82,2.06,favori,favori,0.4841168697324604,0.5158831302675396
4,2.9,1.455,favori,challenger,0.518305297114718,0.48169470288528204
5,1.463,2.91,challenger,challenger,0.6537224293969977,0.34627757060300235
6,1.971,1.885,favori,favori,0.42580501743358623,0.5741949825664138
7,2.06,1.82,favori,challenger,0.5632655931348747,0.43673440686512527
8,6.85,1.131,favori,favori,0.18424376518886854,0.8157562348111315
9,1.714,2.24,challenger,favori,0.43733715738423073,0.5626628426157693
10,4.55,1.241,favori,favori,0.25771263815097145,0.7422873618490285
11,1.7519999999999998,2.17,favori,favori,0.4801448686191798,0.5198551313808202
12,2.21,1.73,favori,challenger,0.5160417599932032,0.48395824000679677
13,2.93,1.459,favori,favori,0.33000637354588946,0.6699936264541105
14,1.862,2.0,challenger,favori,0.4269130490951878,0.5730869509048122
15,5.85,1.154,favori,favori,0.18725599364390932,0.8127440063560907
16,6.5,1.133,favori,favori,0.24722476689969808,0.7527752331003019
17,6.0,1.148,favori,favori,0.154961603457882,0.845038396542118
18,1.952,1.901,challenger,challenger,0.561466344345276,0.438533655654724
19,2.69,1.529,favori,favori,0.3247882416993352,0.6752117583006648
20,2.9,1.465,challenger,favori,0.4033483614979858,0.5966516385020142
21,3.25,1.392,challenger,favori,0.24650412994859872,0.7534958700514013
22,6.25,1.143,favori,favori,0.12416531477565629,0.8758346852243437
23,3.25,1.392,favori,favori,0.4290370023931517,0.5709629976068483
24,1.885,1.971,challenger,favori,0.39468955897236346,0.6053104410276365
25,2.27,1.69,favori,favori,0.3220578638781487,0.6779421361218513
26,2.75,1.513,favori,favori,0.36296061558042436,0.6370393844195756
27,1.676,2.3,challenger,favori,0.3726387610714095,0.6273612389285905
28,2.7,1.526,favori,favori,0.3369133233252334,0.6630866766747666
29,2.51,1.592,favori,favori,0.37382027930970485,0.6261797206902951
30,1.633,2.4,favori,challenger,0.6391859097033834,0.3608140902966166
31,2.4,1.633,favori,favori,0.3825553547824925,0.6174446452175075
32,2.12,1.781,challenger,favori,0.3192063135829024,0.6807936864170976
33,4.5,1.23,favori,favori,0.2546452213571986,0.7453547786428014
34,1.357,3.4,favori,challenger,0.6126043710341095,0.3873956289658905
35,2.7,1.526,challenger,favori,0.3593766358397089,0.6406233641602911
36,3.45,1.345,favori,favori,0.1890576316365553,0.8109423683634447
37,2.34,1.658,favori,favori,0.3533863328876974,0.6466136671123026
38,1.943,1.909,challenger,favori,0.481296484302697,0.518703515697303
39,5.25,1.182,favori,favori,0.17397355392943226,0.8260264460705677
40,2.0,1.862,challenger,challenger,0.5525818507274514,0.44741814927254864
41,1.952,1.901,favori,favori,0.4727803922265117,0.5272196077734883
42,3.9,1.294,favori,favori,0.20613658939928803,0.793863410600712
43,3.45,1.345,favori,favori,0.25194709749921884,0.7480529025007812
44,4.25,1.256,challenger,favori,0.2261091902998944,0.7738908097001056
45,1.794,2.1,favori,favori,0.46125674544429773,0.5387432545557023
46,2.48,1.602,challenger,favori,0.4794716720756296,0.5205283279243704
47,2.72,1.513,favori,favori,0.33590977172994896,0.664090228270051
48,2.48,1.602,favori,favori,0.32198402768523016,0.6780159723147698
49,1.621,2.43,favori,challenger,0.606700373903324,0.393299626096676
50,1.952,1.901,challenger,favori,0.35948098763865444,0.6405190123613456
51,1.5,2.78,challenger,challenger,0.6553002250642207,0.3446997749357793
52,2.48,1.602,challenger,challenger,0.5010360891330885,0.49896391086691155
53,1.847,2.02,challenger,challenger,0.534382273009766,0.465617726990234
54,1.541,2.65,favori,challenger,0.6360517942574366,0.3639482057425634
55,3.65,1.3230000000000002,favori,favori,0.4097339527295536,0.5902660472704464
56,2.39,1.645,favori,favori,0.3718294418589754,0.6281705581410246
57,2.49,1.599,favori,favori,0.3495521585985175,0.6504478414014825
58,6.25,1.148,favori,favori,0.1697126573545823,0.8302873426454177
59,5.05,1.211,favori,favori,0.20857340997978346,0.7914265900202165
60,3.6,1.328,favori,favori,0.32216924173087413,0.6778307582691259
61,2.63,1.5519999999999998,favori,favori,0.40571800247416645,0.5942819975258335
62,4.1,1.278,favori,favori,0.20537021038193737,0.7946297896180626
63,3.3,1.37,favori,favori,0.35567442713849806,0.6443255728615019
64,1.641,2.4,challenger,favori,0.48931591313508693,0.5106840868649131
65,2.36,1.658,favori,favori,0.28232808850292135,0.7176719114970787
66,2.0,1.862,favori,challenger,0.5289649489035975,0.47103505109640254
67,2.63,1.5519999999999998,challenger,favori,0.28621760517272143,0.7137823948272786
68,1.633,2.42,challenger,challenger,0.6779054762486522,0.32209452375134784
69,4.2,1.263,favori,favori,0.3008999580508662,0.6991000419491338
70,2.8,1.4880000000000002,challenger,favori,0.33393038083844573,0.6660696191615543
71,1.629,2.43,challenger,favori,0.43166619125146144,0.5683338087485386
72,3.26,1.383,challenger,favori,0.18188103175284287,0.8181189682471571
73,2.34,1.6669999999999998,favori,favori,0.3865457941728081,0.6134542058271919
74,2.7,1.526,favori,favori,0.43068126116823413,0.5693187388317659
75,2.25,1.709,challenger,favori,0.449987014384961,0.550012985615039
76,2.2,1.725,favori,favori,0.35176617248870634,0.6482338275112937
77,2.16,1.746,challenger,favori,0.39513949595341036,0.6048605040465896
78,2.5,1.595,challenger,favori,0.442797378518653,0.557202621481347
79,2.13,1.775,favori,favori,0.401219862628448,0.598780137371552
80,5.65,1.167,favori,favori,0.2013150180239982,0.7986849819760018
81,2.22,1.725,challenger,favori,0.4428769545072144,0.5571230454927856
82,2.49,1.606,challenger,favori,0.34681248202785,0.65318751797215
83,3.85,1.2990000000000002,favori,favori,0.17604433836595612,0.8239556616340439
84,2.65,1.5519999999999998,favori,favori,0.4581529161313759,0.5418470838686241
85,2.23,1.719,favori,challenger,0.5779338342810663,0.42206616571893374
86,1.426,3.05,favori,challenger,0.5787074674849322,0.4212925325150678
87,2.8,1.4880000000000002,challenger,favori,0.3253021869113195,0.6746978130886805
88,1.98,1.877,favori,favori,0.485570190162663,0.514429809837337
89,3.35,1.364,favori,favori,0.2583644235095771,0.7416355764904229
90,3.05,1.408,challenger,favori,0.36428268481440607,0.6357173151855939
91,1.735,2.2,challenger,challenger,0.5351226361238773,0.46487736387612266
92,2.7,1.5319999999999998,favori,favori,0.2541485694285035,0.7458514305714965
93,1.602,2.5,favori,challenger,0.6426109103770943,0.3573890896229058
94,2.95,1.455,favori,favori,0.1834386403382645,0.8165613596617355
95,2.55,1.578,favori,favori,0.465351535119332,0.534648464880668
96,2.37,1.654,favori,favori,0.4460132531395872,0.5539867468604128
97,3.28,1.3730000000000002,favori,favori,0.252075451913785,0.747924548086215
98,1.556,2.62,challenger,challenger,0.56071575420521,0.43928424579479
99,2.2,1.735,challenger,favori,0.3744054254678375,0.6255945745321625
100,4.95,1.208,favori,favori,0.19652597149476814,0.8034740285052319
101,2.25,1.709,favori,favori,0.3431613428387611,0.6568386571612389
102,2.3,1.685,favori,favori,0.33719479848528855,0.6628052015147115
103,2.62,1.5490000000000002,challenger,favori,0.34703716901027737,0.6529628309897226
104,4.65,1.235,favori,favori,0.3633713851929983,0.6366286148070017
105,2.75,1.513,favori,favori,0.2884034953989043,0.7115965046010957
106,2.58,1.575,favori,favori,0.479275916097222,0.520724083902778
107,3.55,1.339,challenger,favori,0.23123426594891716,0.7687657340510828
108,1.893,1.962,challenger,favori,0.49464950169830313,0.5053504983016969
109,5.0,1.211,favori,favori,0.1503630509702707,0.8496369490297293
110,3.65,1.3230000000000002,favori,favori,0.34224662662591476,0.6577533733740852
111,1.709,2.25,challenger,favori,0.44591891002076833,0.5540810899792317
112,4.6,1.235,favori,favori,0.22996061264050005,0.7700393873595
113,1.847,2.02,challenger,favori,0.3413897044149098,0.6586102955850902
114,1.129,7.0,challenger,challenger,0.6814874544944077,0.31851254550559227
115,1.694,2.28,favori,favori,0.336588311125237,0.663411688874763
116,3.75,1.3130000000000002,favori,favori,0.3524416762726268,0.6475583237273732
117,23.5,1.029,favori,favori,0.10075390430957287,0.8992460956904271
118,2.72,1.513,challenger,favori,0.3484757951930273,0.6515242048069727
119,3.05,1.435,challenger,favori,0.3995328534886834,0.6004671465113166
120,4.15,1.274,challenger,favori,0.2284056540142798,0.7715943459857202
121,4.95,1.213,favori,favori,0.306578850233478,0.693421149766522
122,3.75,1.308,favori,favori,0.17740126331809758,0.8225987366819024
123,3.65,1.3230000000000002,favori,favori,0.20616534563447042,0.7938346543655296
124,1.98,1.877,favori,challenger,0.5322282355858208,0.4677717644141792
125,3.5,1.345,challenger,favori,0.2115255875086457,0.7884744124913543
126,4.55,1.241,favori,favori,0.1616652899555352,0.8383347100444648
127,9.75,1.08,favori,favori,0.16790336230225922,0.8320966376977408
128,3.55,1.3330000000000002,favori,favori,0.24659367701450785,0.7534063229854921
129,4.35,1.25,favori,favori,0.36106869522681173,0.6389313047731883
130,2.6,1.556,challenger,favori,0.4281100014707152,0.5718899985292848
131,1.735,2.2,favori,favori,0.43378217596788515,0.5662178240321148
132,1.571,2.59,favori,favori,0.4088863677278797,0.5911136322721203
133,3.6,1.3330000000000002,favori,favori,0.30558940709182836,0.6944105929081716
134,2.56,1.575,challenger,favori,0.43332906797228654,0.5666709320277135
135,3.8,1.308,favori,favori,0.3330752128696842,0.6669247871303158
136,3.2,1.4169999999999998,favori,favori,0.1927393244705523,0.8072606755294477
137,2.52,1.595,challenger,favori,0.32372481942658693,0.6762751805734131
138,4.65,1.233,favori,favori,0.2214811349462772,0.7785188650537228
139,2.27,1.69,favori,favori,0.38636931560128374,0.6136306843987163
140,14.5,1.057,favori,favori,0.09395049664009536,0.9060495033599046
141,10.0,1.083,favori,favori,0.16760034467603158,0.8323996553239684
142,18.5,1.041,favori,favori,0.10836921036221048,0.8916307896377895
143,1.82,2.06,challenger,favori,0.3785716356604375,0.6214283643395625
144,2.32,1.676,favori,favori,0.433568458026672,0.566431541973328
145,4.0,1.29,favori,favori,0.35644696070071114,0.6435530392992889
146,1.568,2.6,favori,challenger,0.531196332212816,0.46880366778718396
147,1.595,2.5,challenger,favori,0.38930743375007903,0.610692566249921
148,2.55,1.585,challenger,favori,0.36101532883433374,0.6389846711656663
149,4.75,1.227,favori,favori,0.2724704157969994,0.7275295842030006
150,2.58,1.575,challenger,favori,0.2712558502507181,0.7287441497492819
151,1.556,2.64,challenger,favori,0.42682762399019203,0.573172376009808
152,8.0,1.108,favori,favori,0.09129626966421855,0.9087037303357814
153,1.649,2.38,favori,challenger,0.5405276866437032,0.45947231335629674
154,2.36,1.658,challenger,favori,0.3995991306776915,0.6004008693223085
155,2.07,1.813,challenger,favori,0.46695197374327724,0.5330480262567228
156,3.79,1.304,favori,favori,0.20496757949530453,0.7950324205046955
157,1.529,2.71,challenger,favori,0.41646489790164276,0.5835351020983572
158,16.0,1.048,favori,favori,0.09657403919882057,0.9034259608011794
159,1.592,2.53,challenger,challenger,0.5291734212700183,0.4708265787299817
160,5.6,1.16,favori,favori,0.24610252579776948,0.7538974742022305
161,2.7,1.526,favori,favori,0.3353820653592938,0.6646179346407062
162,3.1,1.408,challenger,favori,0.3615276214340738,0.6384723785659262
163,17.0,1.047,favori,favori,0.11111618066665907,0.8888838193333409
164,3.15,1.408,favori,favori,0.33204071455729,0.66795928544271
165,1.68,2.31,favori,favori,0.39948643563659847,0.6005135643634015
166,1.3130000000000002,3.75,challenger,challenger,0.6097342185279258,0.39026578147207425
167,2.02,1.847,favori,favori,0.2974972677826917,0.7025027322173083
168,5.0,1.204,favori,favori,0.3045092560699666,0.6954907439300334
169,3.3,1.3769999999999998,favori,favori,0.4246693578311296,0.5753306421688704
170,1.862,2.0,challenger,challenger,0.589970813593456,0.410029186406544
171,5.65,1.171,favori,favori,0.28866095300903105,0.711339046990969
172,5.46,1.178,favori,favori,0.2830742618918537,0.7169257381081463
173,21.0,1.036,favori,favori,0.08299899667348176,0.9170010033265182
174,7.25,1.121,favori,favori,0.22762467462406344,0.7723753253759366
175,1.8,2.09,favori,favori,0.48229798748378827,0.5177020125162117
176,5.25,1.182,favori,favori,0.19788021320668792,0.8021197867933121
177,3.15,1.4169999999999998,favori,favori,0.28699178509625767,0.7130082149037423
178,4.95,1.211,favori,favori,0.19753494388888337,0.8024650561111166
179,5.25,1.182,favori,favori,0.1757859348650057,0.8242140651349943
