,PS_F,PS_C,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
8365,1.719,2.21,challenger,challenger,0.6417871778548259,0.358212822145175
8366,1.385,3.25,challenger,favori,0.19269834258448834,0.8073016574155115
8367,1.746,2.18,favori,favori,0.1260520058373,0.8739479941626997
8371,2.06,1.82,favori,favori,0.13528310631174517,0.8647168936882549
8372,1.455,2.9,favori,challenger,0.7015423257260601,0.2984576742739399
8373,2.91,1.463,challenger,favori,0.19145802468085765,0.808541975319143
8375,1.885,1.971,favori,challenger,0.6567637298501626,0.34323627014983743
8376,1.82,2.06,favori,favori,0.20627941787853038,0.79372058212147
8377,1.131,6.85,favori,challenger,0.6735534374122607,0.32644656258773896
8378,2.24,1.714,challenger,favori,0.24882976391513545,0.7511702360848651
8380,1.241,4.55,favori,favori,0.11964324450059755,0.8803567554994025
8381,2.17,1.7519999999999998,favori,favori,0.31518764750041867,0.6848123524995814
8382,1.73,2.21,favori,favori,0.3963302032161166,0.6036697967838838
8383,1.459,2.93,favori,favori,0.241324402486889,0.7586755975131113
8385,2.0,1.862,challenger,challenger,0.6509541668811301,0.3490458331188697
8386,1.154,5.85,favori,challenger,0.6627603270912095,0.33723967290879026
8387,1.133,6.5,favori,favori,0.16649898379054737,0.8335010162094527
8389,1.148,6.0,favori,challenger,0.5250090140853301,0.4749909859146698
8390,1.901,1.952,challenger,favori,0.04807759163780832,0.9519224083621919
8391,1.529,2.69,favori,favori,0.05183668071694388,0.9481633192830556
8392,1.465,2.9,challenger,favori,0.2576221998589645,0.7423778001410358
8393,1.392,3.25,challenger,favori,0.26718419174564695,0.7328158082543531
8394,1.143,6.25,favori,challenger,0.5341672479481301,0.4658327520518698
8397,1.392,3.25,favori,favori,0.12351601307189551,0.8764839869281044
8398,1.971,1.885,challenger,challenger,0.6945197717315361,0.3054802282684635
8399,1.69,2.27,favori,challenger,0.7253138211805389,0.27468617881946045
8400,1.513,2.75,favori,favori,0.09168079828668065,0.9083192017133194
8402,2.3,1.676,challenger,favori,0.1750674125152454,0.8249325874847545
8403,1.526,2.7,favori,challenger,0.5067195168436652,0.4932804831563348
8404,1.592,2.51,favori,favori,0.3021192196834143,0.6978807803165863
8406,2.4,1.633,favori,favori,0.11644211752299992,0.883557882477
8407,1.633,2.4,favori,favori,0.33106753903131614,0.6689324609686836
8408,1.781,2.12,challenger,challenger,0.6757890467375759,0.32421095326242366
8410,1.23,4.5,favori,favori,0.268081286959477,0.7319187130405228
8411,3.4,1.357,favori,favori,0.2200371955186197,0.7799628044813818
8412,1.526,2.7,challenger,favori,0.41339186475718986,0.5866081352428104
8413,1.345,3.45,favori,favori,0.10140424247235388,0.8985957575276462
8414,1.658,2.34,favori,favori,0.07956183750889635,0.9204381624911037
8415,1.909,1.943,challenger,favori,0.33164792882556005,0.6683520711744396
8416,1.182,5.25,favori,challenger,0.5920257277020241,0.4079742722979763
8417,1.862,2.0,challenger,challenger,0.6347653982129355,0.36523460178706474
8418,1.901,1.952,favori,challenger,0.5119620394225657,0.48803796057743426
8419,1.294,3.9,favori,favori,0.24729733485468794,0.7527026651453121
8420,1.345,3.45,favori,challenger,0.5949843512696452,0.40501564873035495
8421,1.256,4.25,challenger,favori,0.14149606282090815,0.858503937179092
8422,2.1,1.794,favori,favori,0.04291570618923561,0.9570842938107644
