,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
0,2.21,1.719,challenger,favori,0.30314463,0.69685537
1,3.25,1.385,challenger,favori,0.27828062,0.7217194
2,2.18,1.746,favori,favori,0.45380664,0.54619336
3,1.82,2.06,favori,favori,0.4815449,0.5184551
4,2.9,1.455,favori,favori,0.41465682,0.5853432
5,1.463,2.91,challenger,challenger,0.6396038,0.3603962
6,1.971,1.885,favori,favori,0.4514113,0.5485887
7,2.06,1.82,favori,challenger,0.5654415,0.43455848
8,6.85,1.131,favori,favori,0.15474695,0.84525305
9,1.714,2.24,challenger,favori,0.40501344,0.59498656
10,4.55,1.241,favori,favori,0.23820442,0.7617956
11,1.7519999999999998,2.17,favori,favori,0.47063047,0.52936953
12,2.21,1.73,favori,favori,0.40048116,0.59951884
13,2.93,1.459,favori,favori,0.35262334,0.64737666
14,1.862,2.0,challenger,favori,0.4580686,0.5419314
15,5.85,1.154,favori,favori,0.18826866,0.81173134
16,6.5,1.133,favori,favori,0.2393856,0.7606144
17,6.0,1.148,favori,favori,0.14646578,0.8535342
18,1.952,1.901,challenger,challenger,0.58702123,0.41297877
19,2.69,1.529,favori,favori,0.32138282,0.6786172
20,2.9,1.465,challenger,favori,0.46216053,0.5378395
21,3.25,1.392,challenger,favori,0.26660907,0.7333909
22,6.25,1.143,favori,favori,0.1509099,0.8490901
23,3.25,1.392,favori,favori,0.35400093,0.6459991
24,1.885,1.971,challenger,favori,0.44738913,0.5526109
25,2.27,1.69,favori,favori,0.33397943,0.6660206
26,2.75,1.513,favori,favori,0.3800062,0.6199938
27,1.676,2.3,challenger,favori,0.39515555,0.60484445
28,2.7,1.526,favori,favori,0.34711045,0.65288955
29,2.51,1.592,favori,favori,0.3771181,0.6228819
30,1.633,2.4,favori,challenger,0.5826379,0.41736212
31,2.4,1.633,favori,favori,0.38883942,0.6111606
32,2.12,1.781,challenger,favori,0.30007118,0.6999288
33,4.5,1.23,favori,favori,0.30975163,0.69024837
34,1.357,3.4,favori,challenger,0.5971726,0.40282735
35,2.7,1.526,challenger,favori,0.3879845,0.6120155
36,3.45,1.345,favori,favori,0.15800554,0.84199446
37,2.34,1.658,favori,favori,0.30892217,0.6910778
38,1.943,1.909,challenger,favori,0.45489037,0.5451096
39,5.25,1.182,favori,favori,0.14281124,0.85718876
40,2.0,1.862,challenger,challenger,0.5614232,0.43857682
41,1.952,1.901,favori,favori,0.4495247,0.5504753
42,3.9,1.294,favori,favori,0.34628135,0.65371865
43,3.45,1.345,favori,favori,0.19750601,0.802494
44,4.25,1.256,challenger,favori,0.23490345,0.76509655
45,1.794,2.1,favori,favori,0.47294915,0.52705085
46,2.48,1.602,challenger,favori,0.44728845,0.55271155
47,2.72,1.513,favori,favori,0.3035257,0.6964743
48,2.48,1.602,favori,favori,0.2792598,0.7207402
49,1.621,2.43,favori,challenger,0.57540226,0.42459774
50,1.952,1.901,challenger,favori,0.23244226,0.76755774
51,1.5,2.78,challenger,challenger,0.52383494,0.4761651
52,2.48,1.602,challenger,challenger,0.54708505,0.45291498
53,1.847,2.02,challenger,challenger,0.5104047,0.48959526
54,1.541,2.65,favori,challenger,0.60041445,0.39958555
55,3.65,1.3230000000000002,favori,favori,0.3590955,0.6409045
56,2.39,1.645,favori,favori,0.3875389,0.6124611
57,2.49,1.599,favori,favori,0.35378617,0.6462138
58,6.25,1.148,favori,favori,0.15859741,0.8414026
59,5.05,1.211,favori,favori,0.14111471,0.8588853
60,3.6,1.328,favori,favori,0.30053055,0.69946945
61,2.63,1.5519999999999998,favori,favori,0.3724352,0.6275648
62,4.1,1.278,favori,favori,0.18882668,0.8111733
63,3.3,1.37,favori,favori,0.37112933,0.62887067
64,1.641,2.4,challenger,challenger,0.5082947,0.49170527
65,2.36,1.658,favori,favori,0.22430933,0.7756907
66,2.0,1.862,favori,challenger,0.54091704,0.45908296
67,2.63,1.5519999999999998,challenger,favori,0.27629954,0.72370046
68,1.633,2.42,challenger,challenger,0.69927907,0.30072096
69,4.2,1.263,favori,favori,0.29394704,0.70605296
70,2.8,1.4880000000000002,challenger,favori,0.3280201,0.6719799
71,1.629,2.43,challenger,favori,0.4364295,0.5635705
72,3.26,1.383,challenger,favori,0.15846086,0.84153914
73,2.34,1.6669999999999998,favori,favori,0.39099807,0.60900193
74,2.7,1.526,favori,favori,0.4513582,0.5486418
75,2.25,1.709,challenger,favori,0.49787104,0.50212896
76,2.2,1.725,favori,favori,0.38103622,0.6189638
77,2.16,1.746,challenger,favori,0.36775887,0.63224113
78,2.5,1.595,challenger,favori,0.46684265,0.53315735
79,2.13,1.775,favori,favori,0.4023999,0.5976001
80,5.65,1.167,favori,favori,0.18031025,0.81968975
81,2.22,1.725,challenger,favori,0.48796868,0.5120313
82,2.49,1.606,challenger,favori,0.338377,0.661623
83,3.85,1.2990000000000002,favori,favori,0.17119467,0.8288053
84,2.65,1.5519999999999998,favori,favori,0.4587626,0.5412374
85,2.23,1.719,favori,challenger,0.5681488,0.4318512
86,1.426,3.05,favori,challenger,0.57170206,0.42829794
87,2.8,1.4880000000000002,challenger,favori,0.3135115,0.6864885
88,1.98,1.877,favori,favori,0.46758342,0.5324166
89,3.35,1.364,favori,favori,0.2740755,0.7259245
90,3.05,1.408,challenger,favori,0.3275432,0.6724568
91,1.735,2.2,challenger,challenger,0.5441618,0.4558382
92,2.7,1.5319999999999998,favori,favori,0.26562595,0.73437405
93,1.602,2.5,favori,challenger,0.5539153,0.44608468
94,2.95,1.455,favori,favori,0.18229377,0.8177062
95,2.55,1.578,favori,favori,0.47565353,0.5243465
96,2.37,1.654,favori,favori,0.4343006,0.5656994
97,3.28,1.3730000000000002,favori,favori,0.1592316,0.8407684
98,1.556,2.62,challenger,challenger,0.52480686,0.47519317
99,2.2,1.735,challenger,favori,0.38850504,0.61149496
100,4.95,1.208,favori,favori,0.17714006,0.82285994
101,2.25,1.709,favori,favori,0.3248837,0.6751163
102,2.3,1.685,favori,favori,0.34140992,0.6585901
103,2.62,1.5490000000000002,challenger,favori,0.34099436,0.65900564
104,4.65,1.235,favori,favori,0.40585512,0.5941449
105,2.75,1.513,favori,favori,0.28585488,0.7141451
106,2.58,1.575,favori,challenger,0.52589524,0.47410473
107,3.55,1.339,challenger,favori,0.25743628,0.7425637
108,1.893,1.962,challenger,favori,0.48686105,0.51313895
109,5.0,1.211,favori,favori,0.10244781,0.8975522
110,3.65,1.3230000000000002,favori,favori,0.31273746,0.68726254
111,1.709,2.25,challenger,favori,0.48823714,0.51176286
112,4.6,1.235,favori,favori,0.28325397,0.71674603
113,1.847,2.02,challenger,favori,0.3635744,0.6364256
114,1.129,7.0,challenger,challenger,0.6078085,0.3921915
115,1.694,2.28,favori,favori,0.4127949,0.5872051
116,3.75,1.3130000000000002,favori,favori,0.37813652,0.6218635
117,23.5,1.029,favori,favori,0.053912997,0.946087
118,2.72,1.513,challenger,favori,0.3834042,0.6165958
119,3.05,1.435,challenger,favori,0.4228078,0.5771922
120,4.15,1.274,challenger,favori,0.2539512,0.7460488
121,4.95,1.213,favori,favori,0.27858526,0.72141474
122,3.75,1.308,favori,favori,0.20935911,0.7906409
123,3.65,1.3230000000000002,favori,favori,0.23021352,0.7697865
124,1.98,1.877,favori,favori,0.49097526,0.50902474
125,3.5,1.345,challenger,favori,0.23842478,0.7615752
126,4.55,1.241,favori,favori,0.15324867,0.84675133
127,9.75,1.08,favori,favori,0.17735809,0.8226419
128,3.55,1.3330000000000002,favori,favori,0.26888084,0.73111916
