,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
0,2.21,1.719,challenger,favori,0.3211292,0.6788708
1,3.25,1.385,challenger,favori,0.28404623,0.71595377
2,2.18,1.746,favori,favori,0.4467557,0.5532443
3,1.82,2.06,favori,favori,0.49561393,0.50438607
4,2.9,1.455,favori,favori,0.4241547,0.5758453
5,1.463,2.91,challenger,challenger,0.6938914,0.30610856
6,1.971,1.885,favori,favori,0.42998838,0.5700116
7,2.06,1.82,favori,challenger,0.5941761,0.4058239
8,6.85,1.131,favori,favori,0.16913205,0.83086795
9,1.714,2.24,challenger,favori,0.40876096,0.59123904
10,4.55,1.241,favori,favori,0.2615658,0.7384342
11,1.7519999999999998,2.17,favori,favori,0.43048525,0.56951475
12,2.21,1.73,favori,favori,0.28478682,0.7152132
13,2.93,1.459,favori,favori,0.36487615,0.63512385
14,1.862,2.0,challenger,favori,0.4611305,0.5388695
15,5.85,1.154,favori,favori,0.21519148,0.7848085
16,6.5,1.133,favori,favori,0.24803096,0.75196904
17,6.0,1.148,favori,favori,0.14085537,0.8591446
18,1.952,1.901,challenger,challenger,0.60595196,0.39404804
19,2.69,1.529,favori,favori,0.2897995,0.7102005
20,2.9,1.465,challenger,favori,0.4144411,0.5855589
21,3.25,1.392,challenger,favori,0.27488673,0.7251133
22,6.25,1.143,favori,favori,0.1254611,0.8745389
23,3.25,1.392,favori,favori,0.3250563,0.6749437
24,1.885,1.971,challenger,favori,0.4336648,0.5663352
25,2.27,1.69,favori,favori,0.29429972,0.7057003
26,2.75,1.513,favori,favori,0.3779859,0.6220141
27,1.676,2.3,challenger,favori,0.3300779,0.6699221
28,2.7,1.526,favori,favori,0.366234,0.633766
29,2.51,1.592,favori,favori,0.34964335,0.65035665
30,1.633,2.4,favori,challenger,0.5969726,0.4030274
31,2.4,1.633,favori,favori,0.40004516,0.59995484
32,2.12,1.781,challenger,favori,0.28512508,0.7148749
33,4.5,1.23,favori,favori,0.34344047,0.6565595
34,1.357,3.4,favori,challenger,0.59818906,0.40181094
35,2.7,1.526,challenger,favori,0.36805844,0.63194156
36,3.45,1.345,favori,favori,0.18067324,0.81932676
37,2.34,1.658,favori,favori,0.29997724,0.70002276
38,1.943,1.909,challenger,favori,0.4673484,0.5326516
39,5.25,1.182,favori,favori,0.13982141,0.8601786
40,2.0,1.862,challenger,challenger,0.5713558,0.42864418
41,1.952,1.901,favori,favori,0.44193572,0.5580643
42,3.9,1.294,favori,favori,0.42947876,0.57052124
43,3.45,1.345,favori,favori,0.18662131,0.8133787
44,4.25,1.256,challenger,favori,0.21743912,0.7825609
45,1.794,2.1,favori,favori,0.47041,0.52959
46,2.48,1.602,challenger,favori,0.40401715,0.59598285
47,2.72,1.513,favori,favori,0.33806086,0.66193914
48,2.48,1.602,favori,favori,0.26761454,0.73238546
49,1.621,2.43,favori,challenger,0.58884656,0.41115347
50,1.952,1.901,challenger,favori,0.19809836,0.80190164
51,1.5,2.78,challenger,challenger,0.50782156,0.49217847
