,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
0,2.21,1.719,challenger,favori,0.29992586,0.70007414
1,3.25,1.385,challenger,favori,0.2464351,0.7535649
2,2.18,1.746,favori,favori,0.44043785,0.55956215
3,1.82,2.06,favori,favori,0.47145146,0.52854854
4,2.9,1.455,favori,favori,0.4896527,0.5103473
5,1.463,2.91,challenger,challenger,0.5837555,0.41624448
6,1.971,1.885,favori,favori,0.42796487,0.57203513
7,2.06,1.82,favori,challenger,0.5894258,0.4105742
8,6.85,1.131,favori,favori,0.2022196,0.7977804
9,1.714,2.24,challenger,favori,0.45728558,0.5427144
10,4.55,1.241,favori,favori,0.29266977,0.7073302
11,1.7519999999999998,2.17,favori,favori,0.44034594,0.55965406
12,2.21,1.73,favori,favori,0.41404778,0.5859522
13,2.93,1.459,favori,favori,0.34148014,0.65851986
14,1.862,2.0,challenger,favori,0.47828788,0.5217121
15,5.85,1.154,favori,favori,0.25269485,0.74730515
16,6.5,1.133,favori,favori,0.24071425,0.75928575
17,6.0,1.148,favori,favori,0.14340073,0.8565993
18,1.952,1.901,challenger,challenger,0.55885553,0.4411445
19,2.69,1.529,favori,favori,0.2792706,0.7207294
20,2.9,1.465,challenger,favori,0.37898058,0.6210194
21,3.25,1.392,challenger,favori,0.26081246,0.73918754
22,6.25,1.143,favori,favori,0.09180653,0.90819347
23,3.25,1.392,favori,favori,0.4120748,0.5879252
24,1.885,1.971,challenger,favori,0.41326803,0.586732
25,2.27,1.69,favori,favori,0.2747293,0.7252707
26,2.75,1.513,favori,favori,0.40563262,0.5943674
27,1.676,2.3,challenger,favori,0.351434,0.648566
28,2.7,1.526,favori,favori,0.33509183,0.6649082
29,2.51,1.592,favori,favori,0.3922503,0.6077497
30,1.633,2.4,favori,favori,0.44133204,0.55866796
31,2.4,1.633,favori,favori,0.41886353,0.58113647
32,2.12,1.781,challenger,favori,0.31462395,0.68537605
33,4.5,1.23,favori,favori,0.3208015,0.6791985
34,1.357,3.4,favori,challenger,0.5261739,0.4738261
35,2.7,1.526,challenger,favori,0.35551,0.64449
36,3.45,1.345,favori,favori,0.20019001,0.79981
37,2.34,1.658,favori,favori,0.2927735,0.7072265
38,1.943,1.909,challenger,favori,0.4879769,0.5120231
39,5.25,1.182,favori,favori,0.19181639,0.8081836
40,2.0,1.862,challenger,challenger,0.52968144,0.4703186
41,1.952,1.901,favori,favori,0.4819399,0.5180601
42,3.9,1.294,favori,favori,0.27697784,0.72302216
43,3.45,1.345,favori,favori,0.17053884,0.82946116
44,4.25,1.256,challenger,favori,0.19762403,0.802376
45,1.794,2.1,favori,favori,0.43684977,0.5631502
46,2.48,1.602,challenger,favori,0.41580135,0.58419865
47,2.72,1.513,favori,favori,0.3534044,0.6465956
48,2.48,1.602,favori,favori,0.28197783,0.71802217
49,1.621,2.43,favori,challenger,0.5952402,0.40475982
50,1.952,1.901,challenger,favori,0.30601507,0.6939849
51,1.5,2.78,challenger,challenger,0.57603574,0.42396426
52,2.48,1.602,challenger,challenger,0.5020046,0.49799535
53,1.847,2.02,challenger,favori,0.49146098,0.508539
54,1.541,2.65,favori,challenger,0.6267327,0.37326732
55,3.65,1.3230000000000002,favori,favori,0.27437675,0.72562325
56,2.39,1.645,favori,favori,0.3805344,0.6194656
57,2.49,1.599,favori,favori,0.29552794,0.70447206
58,6.25,1.148,favori,favori,0.18914264,0.81085736
59,5.05,1.211,favori,favori,0.1563223,0.8436777
60,3.6,1.328,favori,favori,0.3941955,0.6058045
61,2.63,1.5519999999999998,favori,favori,0.3873036,0.6126964
62,4.1,1.278,favori,favori,0.1714198,0.8285802
63,3.3,1.37,favori,favori,0.33379775,0.66620225
64,1.641,2.4,challenger,challenger,0.55423784,0.4457622
65,2.36,1.658,favori,favori,0.23259914,0.76740086
66,2.0,1.862,favori,challenger,0.5038444,0.49615562
67,2.63,1.5519999999999998,challenger,favori,0.24587929,0.7541207
68,1.633,2.42,challenger,favori,0.49454868,0.5054513
69,4.2,1.263,favori,favori,0.29305828,0.7069417
70,2.8,1.4880000000000002,challenger,favori,0.39310044,0.60689956
71,1.629,2.43,challenger,favori,0.456591,0.543409
72,3.26,1.383,challenger,favori,0.1752975,0.8247025
73,2.34,1.6669999999999998,favori,favori,0.36362892,0.6363711
74,2.7,1.526,favori,favori,0.43427914,0.56572086
75,2.25,1.709,challenger,favori,0.48316675,0.51683325
76,2.2,1.725,favori,favori,0.36223686,0.63776314
77,2.16,1.746,challenger,favori,0.33085227,0.66914773
78,2.5,1.595,challenger,favori,0.43918484,0.56081516
79,2.13,1.775,favori,favori,0.34341908,0.6565809
80,5.65,1.167,favori,favori,0.19856024,0.80143976
81,2.22,1.725,challenger,favori,0.46900535,0.53099465
82,2.49,1.606,challenger,favori,0.36081868,0.6391813
83,3.85,1.2990000000000002,favori,favori,0.17101926,0.82898074
84,2.65,1.5519999999999998,favori,favori,0.45687395,0.54312605
85,2.23,1.719,favori,challenger,0.52108413,0.47891587
86,1.426,3.05,favori,challenger,0.522226,0.47777405
87,2.8,1.4880000000000002,challenger,favori,0.38069874,0.61930126
88,1.98,1.877,favori,favori,0.4869247,0.5130753
89,3.35,1.364,favori,favori,0.27388024,0.72611976
90,3.05,1.408,challenger,favori,0.34309697,0.656903
91,1.735,2.2,challenger,favori,0.48878324,0.51121676
92,2.7,1.5319999999999998,favori,favori,0.23806852,0.7619315
93,1.602,2.5,favori,challenger,0.55362153,0.44637844
94,2.95,1.455,favori,favori,0.16796505,0.83203495
95,2.55,1.578,favori,favori,0.47352624,0.52647376
96,2.37,1.654,favori,favori,0.41845053,0.58154947
97,3.28,1.3730000000000002,favori,favori,0.18606222,0.8139378
98,1.556,2.62,challenger,challenger,0.50677,0.49323
99,2.2,1.735,challenger,favori,0.3268823,0.6731177
100,4.95,1.208,favori,favori,0.19458002,0.80542
101,2.25,1.709,favori,favori,0.32371062,0.6762894
102,2.3,1.685,favori,favori,0.29114538,0.7088546
103,2.62,1.5490000000000002,challenger,favori,0.32652956,0.67347044
104,4.65,1.235,favori,favori,0.4182951,0.5817049
105,2.75,1.513,favori,favori,0.29522455,0.70477545
106,2.58,1.575,favori,favori,0.49379307,0.5062069
107,3.55,1.339,challenger,favori,0.26483238,0.7351676
108,1.893,1.962,challenger,favori,0.48741287,0.51258713
109,5.0,1.211,favori,favori,0.10974032,0.8902597
110,3.65,1.3230000000000002,favori,favori,0.37043542,0.6295646
111,1.709,2.25,challenger,favori,0.4533158,0.5466842
