,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
0,2.21,1.719,challenger,favori,0.300322,0.699678
1,3.25,1.385,challenger,favori,0.23862833,0.7613717
2,2.18,1.746,favori,favori,0.4341433,0.5658567
3,1.82,2.06,favori,favori,0.48695046,0.51304954
4,2.9,1.455,favori,favori,0.4239276,0.5760724
5,1.463,2.91,challenger,challenger,0.690648,0.30935198
6,1.971,1.885,favori,favori,0.4214548,0.5785452
7,2.06,1.82,favori,challenger,0.6233487,0.37665132
8,6.85,1.131,favori,favori,0.13619357,0.8638064
9,1.714,2.24,challenger,favori,0.42672616,0.57327384
10,4.55,1.241,favori,favori,0.24261749,0.7573825
11,1.7519999999999998,2.17,favori,favori,0.43828905,0.56171095
12,2.21,1.73,favori,favori,0.32237035,0.67762965
13,2.93,1.459,favori,favori,0.35061365,0.64938635
14,1.862,2.0,challenger,favori,0.46081775,0.53918225
15,5.85,1.154,favori,favori,0.18909371,0.8109063
16,6.5,1.133,favori,favori,0.23509258,0.7649074
17,6.0,1.148,favori,favori,0.13914627,0.86085373
18,1.952,1.901,challenger,challenger,0.5943837,0.4056163
19,2.69,1.529,favori,favori,0.2838158,0.7161842
20,2.9,1.465,challenger,favori,0.41603076,0.58396924
21,3.25,1.392,challenger,favori,0.21801037,0.78198963
22,6.25,1.143,favori,favori,0.10506612,0.8949339
23,3.25,1.392,favori,favori,0.3080715,0.6919285
24,1.885,1.971,challenger,favori,0.39770567,0.6022943
25,2.27,1.69,favori,favori,0.34372962,0.6562704
26,2.75,1.513,favori,favori,0.35601312,0.6439869
27,1.676,2.3,challenger,favori,0.31235677,0.68764323
28,2.7,1.526,favori,favori,0.3579501,0.6420499
29,2.51,1.592,favori,favori,0.34987825,0.65012175
30,1.633,2.4,favori,challenger,0.6345115,0.36548853
31,2.4,1.633,favori,favori,0.38370383,0.6162962
32,2.12,1.781,challenger,favori,0.30232143,0.69767857
33,4.5,1.23,favori,favori,0.33605653,0.66394347
34,1.357,3.4,favori,challenger,0.6024232,0.3975768
35,2.7,1.526,challenger,favori,0.3614307,0.6385693
36,3.45,1.345,favori,favori,0.16673386,0.83326614
37,2.34,1.658,favori,favori,0.2887885,0.7112115
38,1.943,1.909,challenger,favori,0.46587902,0.534121
39,5.25,1.182,favori,favori,0.13746208,0.8625379
40,2.0,1.862,challenger,challenger,0.5821861,0.41781387
41,1.952,1.901,favori,favori,0.40708095,0.59291905
42,3.9,1.294,favori,favori,0.37106997,0.62893003
43,3.45,1.345,favori,favori,0.15511835,0.84488165
